SR.NO,RPID,SITE_NAME,TECHNOLOGY,3G_TECH,SITE_NAME_3G,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
66,CT2159,BSC70-03_PutramaddiUSO_CT2159B,2G,,,13.32362,78.98909,Rural,Putramaddi,Irala,,OD Plinth,5411.0,"Cherlopalle, Putramaddi(V), Irala(M), Chittoor Dist,AP-517129",Chittoor,BANGARUPALYAM,517130.0,NBSNL,BSNL Infra,CT2159,GBT,40.0,34.0,Dual,XAHT,Nortel,USO,10/31/2008,BTS18K_OD,3.0,3-3-3,45/150/273,1.0,OFC,E1,,,,,,,,70.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,CT2160,BSC70-53_Ramakuppam_CT2160B,2G,,,12.89922,78.48548,Rural,Ramakuppam,Ramakuppam,SH,Shelter,5428.0,"Ramakuppam(V&M),Chittoor DT.",Chittoor,V.KOTA,517401.0,BSNL,BSNL Infra,CT2160,GBT,40.0,38.0,Mono,HIGH WAY,Nortel,IV.5,9/23/2008,BTS18K_ID,3.0,4-4-4,0/90/195,2.0,OFC,E1,,,,,,,,70.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,CT2161,BSC68-74_Regallu-USO_CT2161C,2G,,,13.60394,78.88696,Rural,Regallu,Pileru,,OD Plinth,5386.0,"Regallu, Piler(M), Chittoor Dt,Andhrapradesh,pin-517234.",Rajampet,SODAM,517214.0,NBSNL,BSNL Infra,CT2161,GBT,40.0,34.0,Dual,XAHT,Nortel,USO,10/5/2008,BTS18K_OD,3.0,4-4-4,80/195/280,,DMW,,,OLD NEC,0.6 m,BSC70-37_Sodam-SDCA_CT2068A,E1,1.0,,68.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015813979@G/FXW/HYD/3156768/2016@K-19012-G/FVC/HYD2891034/2015-CFA DTD 9-12-16,,,,,,,
69,CT2163,BSC68-34_S_Vellore-USO_CT2163B,2G,,,13.68082,79.93552,Rural,Santhavellore,Varadaiahpalem,SH,OD Plinth,5381.0,"Santha Vellore_USO, Chittoor Dist,Andhrapradesh-517640",Tirupati,SATYAVEDU,517640.0,NBSNL,BSNL Infra,CT2163,GBT,40.0,34.0,Dual,XAHT,Nortel,USO,8/31/2008,BTS18K_ID,3.0,2-2-2,80/160/280,1.0,OFC,E1,,,,,,,,67.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,CT2164,BSC70-55_SanthiPuram_CT2164B,2G+3G,HUW,102_0177_Santhipuram_CT2164B,12.86738,78.40133,Rural,Santhipuram,Santhipuram,NH,OD Plinth,5425.0,"SanthiPuram(V&M),Chittoor DT.",Chittoor,KUPPAM,517423.0,NBSNL,BSNL Infra,CT2164,GBT,60.0,50.0,Mono,HIGH WAY,Nortel,IV.5,1/30/2009,BTS18K_OD,3.0,3-3-3,40/215/310,1.0,OFC,E1,,,,,,,,70.0,Tirupati,VII +,5/24/2017,40/215/310,RRH,3.0,50.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,45 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,,,,,,45 Mbps,,,,,
71,CT2165,BSC70-16_Somala_CT2165B,2G+3G,HUW,102_0151_SOMALA_CT2165B,13.47745,78.81007,Rural,Somala,Somala,SH,Exchange,5412.0,"Somala(V&M),Chittoor DT.",Rajampet,PILER,517457.0,BSNL,BSNL Infra,CT2165,GBT,40.0,39.0,Dual,XAHT,Nortel,IV.5,8/21/2008,BTS18K_ID,3.0,4-4-4,90/210/300,1.0,OFC,E1,,,,,,,,70.0,Tirupati,VII +,4/26/2017,90/210/300,ID,3.0,36.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,30 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2165,,,,,30 Mbps,0.0,,,,
72,CT2166,BSC68-57_SKayalapetUSO_CT2166C,2G,,,13.73218,78.89272,Rural,Sorakayalapeta,Kambhamvaripalle,,OD Plinth,5372.0,"Sorakayalapeta-USO,Kvpalli(M),,Chittoor DT.",Rajampet,PILER,517223.0,NBSNL,BSNL Infra,CT2166,GBT,40.0,34.0,Dual,XAHT,Nortel,USO,9/4/2008,BTS18K_OD,3.0,3-3-3,70/150/240,1.0,OFC,E1,,,,,,,,68.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,CT2169,BSC68-71_Thavalam-USO_CT2169C,2G,,,13.53537,78.6637,Rural,Thavalam,Nimmanapalle,,OD Plinth,5393.0,"TAVALAM VILLAGE,NIMMANAPALLI MANDAL,CHITTOOR(District)....",Rajampet,MADANAPALLI,517280.0,NBSNL,BSNL Infra,CT2169,GBT,40.0,34.0,Dual,XAHT,Nortel,USO,11/30/2008,BTS18K_OD,3.0,3-3-3,0/120/240,,DMW,,,OLD NEC,0.6 m,BSC68-64_Nimmanapalli_CT2147B,E1,1.0,,68.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015813976@G/FXW/HYD/3156767/2016@K-19012-G/FVC/HYD2891034/2015-CFA DTD 9-12-16,,,,,,,
74,CT2170,BSC70-58_TheerthamUSO_CT2170B,2G,,,13.10078,78.56798,Rural,Theertham,Baireddipalle,,OD Plinth,5423.0,"Theertham(V),Baireddypalli(M)),Chittoor DT.",Chittoor,PALMANER,517415.0,NBSNL,BSNL Infra,CT2170,GBT,40.0,34.0,Dual,XAHT,Nortel,USO,10/30/2008,BTS18K_OD,3.0,3-3-3,40/120/270,,DMW,,,ZTE-VIOM,0.6 m,BSC70-57_Byreddypalli_CT2096A,E1,1.0,,70.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015814075@G/FXW/HYD/3156777/2016@CLEARED ONLINE,,,,,,,
75,CT2171,BSC68-87_Thettu-USO_CT2171C,2G,,,13.62775,78.43463,Rural,Thettu,Kurabalakota,,OD Plinth,5389.0,"Tettu,Kurabalakota(M),Chittoor DT, AP - 517352",Rajampet,MADANAPALLI,517352.0,NBSNL,BSNL Infra,CT2171,GBT,40.0,34.0,Dual,XAHT,Nortel,USO,11/29/2008,BTS18K_OD,3.0,3-3-3,0/120/240,,DMW,,,OLD NEC,0.6 m,BSC68-62_Kurabalakota_CT2132B,E1,1.0,,68.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015813991@G/FXW/HYD/3156770/2016@CLEARED ONLINE,,,,,,,
