SR.NO,RPID,SITE_NAME_3G,SITE_NAME_2G,TECHNOLOGY,3G_TECH,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
61,CT5520,346_5974_SIRIPURAM_CT5520,Siripuram colony_IND_CT5520,3G,ZTE,13.647256,79.41626,,Tirupati,Tirupati,,Shelter,,H.NO.6/7/554A; SHRIPURAM COLONY;TIRUPATI NEAR H.H.K. ROAD; CHITOR DISTT.-517501,TirupatI,CHANDRAGIRI,517501.0,IP,INDUS,IN-1004552,RTP,9.0,,,,,,,,,,,,DMW,,,NSN,,ALIPIRI,,,,,,VIII,1/1/2019,110/260/330,RRH,3.0,,DUAL,MOBI,DMW,FE,,100 Mbps,NSN,,CT2073,FE,,,,346.0,,,,,,,,,,,,,100 Mbps,0,,,,
62,CT5521,346_SRINAGAR_CLNY_IND_CT5521,SRINAGAR COLONY_IND_CT5521,3G,ZTE,13.613214,79.40545,,Tirupati,Tirupati,,,,Building In Sy.No.15 Srinagar Colony Avilala Village Tirupathi Rural Chittoor Dist-A.P-517501,,CHANDRAGIRI,,IP,INDUS,IN-1005439,RTP,9.0,,,,,,,,,,,,DMW,,,NSN,,SV GUEST HIOUSE,,,,,,VIII,,,ID,,,,,DMW,FE,,100 Mbps,NSN,,,,,,,346.0,,,,,,,,,,,,,100 Mbps,0,,,,
63,CT5522,346_5976_Bairagipatteda_IND_CT5522,Bairagipetteda_IND_CT5522,3G,ZTE,13.619412,79.420204,,,,,,,"PLOT NO.-283,BAIRAGIPETA,TIRUPATH TOWN,CHITTOOR DIST Andhra Pradesh 517501",,CHANDRAGIRI,,IP,INDUS,IN-1005629,RTT,18.0,,,,,,,,,,,,DMW,,,NSN,,TUDA,,,,,,VIII,,,ID,,,,,DMW,FE,,100 Mbps,NSN,,,,,,,346.0,,,,,,,,,,,,,100 Mbps,0,,,,
64,CT5526,346_6022_TRP_Leelamahal_IND_CT5526,504_4072_TRP_Leelamahal_IND_CT5526,2G+3G,ZTE,13.64154,79.42739,DHQ,TIRUPATI,TIRUPATI(URBAN),OD,OD,,"H.No.18-2-268/16, LEELA MAHAL JUNCTION,Ashok nagar, Tirumala Thirupathi By Pass Road, Tirupathi, Chittoor Dist.AP, PIN CODE : 517501",Tirupati,CHANDRAGIRI,517501.0,IP-INDUS,INDUS NETWORKS,IN-1131389,RTP,22.0,21.0,DUAL,MOBI,NSN,VIII.4,,,,4-4-4,40/150/220,,DMW,,,NEW NEC,0.6,KOLAGUNTA_CT2075,,,,,TIRUPATI,,,,RRH,,,,,DMW,,,100 Mbps,NEW NEC,,,,,,,346.0,CT5526,,,,,,,,,,,,100 Mbps,504,,,,
65,CT5527,346_63681_Kelavati_CT5527,KELAVATI_CT5527,3G,ZTE,13.349503,78.692515,Rural,KELAVATI,PUNGANUR,,OD,,"Kelavati,pedda panjani mandal,punganur",Chittoor,chittoor,,NBSNL,BSNL INFRA,CT5527,MARR,21.0,27.0,DUAL,MOBI,,,,,,,,,,,,,,,,,,,,VII Addon,12/28/2018,30/140,MICRO,2.0,27.0,DUAL,MOBI,OFC,FE,,20 Mbps,,,,,,TIRUPATI,,346.0,,,,,,,,,,,,,20 Mbps,0,,,,
66,CT5528,346_CHANDRAGIRI_CT5528,Chandragiri_IND_CT5528,3G,ZTE,13.59268,79.31972,,,,,,,"DNO.4-125,Chandragiri village, Srinivasa Mangapuram Rd, Tirupati, Chittoor, Andra Pradesh ,517101",,CHANDRAGIRI,,IP-INDUS,INDUS,IN-1043442,RTT,18.0,,,,,,,,,,,,DMW,,,NSN,,CHANDRAGIRI_EXG,,,,,,VIII,,,ID,,,,,DMW,FE,,100 Mbps,NSN,,,,,,,346.0,,,,,,,,,,,,,100 Mbps,0,,,,
67,CT5529,346_5978_TRP_SBI Colony_IND_CT5529,SBI COLONY_IND_CT5529,3G,ZTE,13.623959,79.421368,,,,,,,"H.NO.19-8-70/G, SBI COLONY, TIRUPATHI TOWN, CHITTOOR DIST-517501",,CHANDRAGIRI,,IP,INDUS,IN-1107420,RTT,15.0,,,,,,,,,,,,DMW,,,NSN,,TUDA,,,,,,VIII,,,RRH,,,,,DMW,FE,,100 Mbps,NSN,,,,,,,346.0,,,,,,,,,,,,,100 Mbps,0,,,,
68,CT5530,346_59791_Vedanthapuram_IND_CT5530,Vedanthapuram Agraharam_IND_CT5530,3G,ZTE,13.601409,79.414042,,,,,,,"Sy.no.:212/5, Vedanthapuram Agraharam, Tirupati Rural, Chittor Dist., AP 517505",,CHANDRAGIRI,,IP,INDUS,IN-1252525,GBT,40.0,,,,,,,,,,,,DMW,,,NSN,,TUDA,,,,,,VIII,,,RRH,,,,,DMW,FE,,100 Mbps,NSN,,,,,,,346.0,,,,,,,,,,,,,100 Mbps,0,,,,
69,CT5536,346_60191_RenguntaCheckpost_ATC_CT5536,504_40521_ReniguntaCheckpost_ATC_CT5536,2G+3G,ZTE,13.64102,79.50896,DHQ,Tirupati,Renigunta,NH,OD Plinth,5376.0,"H.No. 19-431/1 in Sy.No.s 442/4 & 442/5 in Ward No. 17 Near Rajamata Kalyana Mandapam, Balaji Nagar New Checkpost Street, Renigunta Mandal, Chittor-517520",Tirupati,CHANDRAGIRI,517520.0,IP-ATC,ATC,ANPCHI3947,RTT,18.0,25.0,Dual,Agisson,NSN,V.1,3/7/2020,S12K_ID,3.0,4-4-4,80/140/220,,DMW,,,NEW NEC,0.6 m,BSC58-19_TRP_Renigunta_CT2023A,E1,1.0,,58.0,Tirupati,V.1,3/7/2020,80/140/220,RRH,3.0,25.0,Dual,Agisson,DMW,,,100 Mbps,NEW NEC,0.6 m,CT2023,FE,,Tiruapti,60 Mbps,346.0,CT2210,,,,,,,,,,2015812100@G/FVC/HYD/3156689/2016@CLEARED ONLINE,,100 Mbps,504,"090718-YES-(DMW,GE+RENI_PTN-FX3/5+NIB-4/5+PE-GE1(2-2-19))",TRP,,
70,CT5540,346_5964_TPT_ManasaKidnyCentre_IND_CT5540A,504_40761_ManasaKC_IND_CT5540,2G+3G,ZTE,13.65286,79.42004,E-City,Tirupati,Tirupati (Urban),,OD,5383.0,"H NO-6-8-1119 NGO'S COLANY K.T.ROAD OPP-SRI KAPILESWARA SWAMI TEMPLE,TIRUPATHI, CHITTOOR DIST AP-517501",Tirupati,CHANDRAGIRI,517501.0,IP-INDUS,INDUS,IN-1297161,RTT,15.0,24.0,DUAL,MOBI,NSN,VII,,,3.0,4-4-4,0/120/240,,OFC,,,,,,,,,,TIRUPATI,,,,RRH,,24.0,DUAL,MOBI,OFC,,,100 Mbps,,,,,,TIRUPATI,,346.0,CT5540,CT5540,,,,,,,,,,,100 Mbps,504,,,,
71,CT5546,346_6031_Rengunta_RCF_IND_CT5546,504_40961_Renigunta-RCF_IND_CT5546,2G+3G,ZTE,13.63657,79.47558,E-City,Renigunta,Renigunta,RC,Shelter,5376.0,,tirupati,CHANDRAGIRI,517520.0,IP-INDUS,INDUS,IN-1278570,GBT,40.0,40.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,VII,5/17/2020,S12K_ID,3.0,4-4-4,60/260/310,,DMW,,,NEW NEC,0.6 m,BSC58-19_TRP_Renigunta_CT2023A,E1,1.0,,58.0,Tirupati,VII,5/18/2020,60/260/310,RRH,3.0,40.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),DMW,,,100 Mbps,NEW NEC,0.6 m,CT2023,FE,,Tiruapti,50Mbps,346.0,CT5546,,,,,,,,,,2015812385@G/FXW/HYD/3156697/2016]@dated9/2/2016,,100 Mbps,504,"090718-YES-(DMW,FE+RENI_PTN-FX3/8+NIB-4/5+PE-GE1(2-2-19))",TRP,,
72,CT5547,346_TRP_Bhavani Nagar_IND_CT5547,504_41271_TRP_Bhavani Nagar_IND_CT5547,2G+3G,ZTE,13.63837,79.41882,DHQ,Tirupati,Tirupati,,OD Plinth,,"Kamala Residency, H.No.18-1-501A,Tirupati,Chittoor Dist Ap 517501",tirupati,CHANDRAGIRI,,IP-INDUS,INDUS,IN-1321225,RTT,31.0,31.0,Dual,MOBI,NSN,VIII+,6/25/2020,OD,3.0,4-4-4,,,DMW,,,NSN,0.6 m,TirpatiMainEx_CT2072,,,,,,VIII+,6/25/2020,,RRH,3.0,31.0,DUAL,MOBI,DMW,FE,,100,NSN,0.6 m,CT2072,FE,,,,346.0,,,,,,,,,,,,,,0,,,,
73,CT5548,346_59161_TRP_NCB Colony_IND_CT5548,TRP_NCB Colony_IND_CT5548,3G,ZTE,13.64333,79.43159,DHQ,Tirupati,Tirupati,,OD Plinth,,"H.no.:4-3, Govinda nagar, Akkarampalle Rd, Tirupati (Town) & (M), CHITTOOR Dist , AP-517507",tirupati,CHANDRAGIRI,,IP-INDUS,INDUS,IN-1120684,RTT,15.0,24.0,Dual,MOBI,,,,,,,,,,,,,,,,,,,,,5/1/2020,,RRH,,,,,OFC,,,,,,,,,,,346.0,,,,,,,,,,,,,,0,,,,
74,CT5549,346_59181_TRP_Tata Nagar_IND_CT5549,TRP_Tata Nagar_IND_CT5549,3G,ZTE,13.63462,79.42622,DHQ,Tirupati,Tirupati,,OD Plinth,,"H.No.13-5-531/B11, Sy.No.413/2, Tatanagar, Tirupathi, Chittoor Dist, Andhra Pradesh-517501",tirupati,CHANDRAGIRI,,IP-INDUS,INDUS,IN-1248648,RTP,9.0,30.0,Dual,MOBI,,,,,,,,,,,,DMW,0.6 m,TirpatiMainEx_CT2072,,,,,,,5/9/2020,,RRH,,,,,DMW,FX,,100,NSN,0.6 m,CT2072,FX,,,,346.0,,,,,,,,,,,,,,0,,,,
75,CT5553,346_TRP_Andhra Bank Cly_SR_CT5553,TRP_Andhra Bank Cly_SR_CT5553,3G,ZTE,13.61244,79.42458,DHQ,TIRUPATI,TIRUPATI,,OD Plinth,,D.No.9 68; Andhra Bank Colony; Avilala; Tirupathi Rural; Chittor Dist; Andhra Pradesh-517506,,,,IP,SR TOWERs,SRT068,RTP,9.0,22.0,,,,,,,,,,,,,,,,,,,,,,,5/23/2020,,RRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
76,CT5554,346_6372_Alimelumangapuram_CT5554,Alimelumangapuram_CT5554,3G,ZTE,,,RURAL,SATYAVEDU,SATYAVEDU,,ROOM,,,,SATYAVEDU,,NBSNL,BSNL INFRA,CT5554,MARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
