SR.NO,RPID,SITE_NAME,TECHNOLOGY,3G_TECH,SITE_NAME_3G,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
36,CT2049,505_50491_Kalikiri_CT2049,2G+4G,NSN,4G_35272_Kalikiri_CT2049,13.64794,78.80433,E-City,Kalikiri,Kalikiri,RC,Exchange,5387.0,"behind rtc bus stand,Kalikiri,Chittoor DT.",Rajampet,VAYALPADU,517224.0,BSNL,BSNL Infra,CT2049,GBT,60.0,40.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,III,6/10/2004,S12K_ID,3.0,4-4-4,90/240/290,2.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,5/23/2014,90/240/290,RRH,3.0,40.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2049,CT2049,,,,,,,,,,070818-YES(FX+VYP(PTN)-CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),100 Mbps,505.0,070818-YES(FX+VYP(PTN)-CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),STD,,
37,CT2050,505_50501_Kanipakam_CT2050,2G+3G,NSN,553_36382_Knipakam_CT2050,13.27727,79.03935,Rural,Kanipakam,Irala,PP,Exchange,5411.0,"Kanipakam exge,Irala(M),Chittoor DT.",Chittoor,BANGARUPALYAM,517131.0,BSNL,BSNL Infra,CT2050,GBT,40.0,40.0,Mono,KATHREIN,NSN,I,6/4/2004,S12K_ID,3.0,4-4-4,25/110/240,1.0,OFC,E1,,,,,,,,70.0,Tirupati,VII +,5/2/2017,25/110/240,RRH,3.0,40.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553.0,CT2050,CT2050,,,,,,CT2050,,,,020918-YES(fx+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),100 Mbps,505.0,030918-YES(fx+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),CTR,,
38,CT2051,504_40141_Karakambadi_CT2051,2G+3G,ZTE,346_5917_Karakampadi-TE_CT2051A,13.67521,79.51188,DHQ,Karakambadi,Tirupati (Rural),,Exchange,5375.0,"karakambadi,tirupati,Chittoor DT.",Tirupati,CHANDRAGIRI,517520.0,BSNL,BSNL Infra,CT2051,GBT,40.0,40.0,Mono,KATHREIN,NSN,IV,12/30/2005,S12K_ID,3.0,4-4-4,0/160/320,1.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/20/2011,0/160/320,RRH,3.0,40.0,Mono,Agisson,OFC,Optical,,100 Mbps,,,,,,Tiruapti,,346.0,CT2051,,,,,,,,,,,,100 Mbps,504.0,250718-YES-(E1+STR-MADM+STR-STM),TRP,,
39,CT2053,505_50531_Kuppam_CT2053,2G+3G,NSN,553_35282_Kuppam-TE_CT2053,12.74673,78.34393,E-City,Kuppam,kuppam,RC,Exchange,5427.0,"kuppam exge,Chittoor DT.",Chittoor,KUPPAM,517425.0,BSNL,BSNL Infra,CT2053,GBT,40.0,40.0,Tri,Agisson,NSN,I,6/4/2004,S12K_ID,3.0,4-4-4,20/170/270,2.0,OFC,E1,,,,,,,,70.0,Tirupati,VII,4/21/2012,20/170/270,RRH,3.0,40.0,TRI,Agisson,OFC,FE,,60 Mbps,,,,,,Tiruapti,,553.0,CT2053,CT2053,,,,,,,,,,240818YES(FE+MADM(KPM)+MADM(STR)+PE2(2-2-37),60 Mbps,505.0,240818YES(FE+MADM(KPM)+MADM(STR)+PE2(2-2-37),KPM,,
40,CT2054,505_50541_MDP_Madanapalle-NB_CT2054,2G+4G,NSN,4G_35292_Madanapalle NB_CT2054,13.56467,78.49897,E-City,Madanapalle,Madanapalle,,Room,5392.0,"REDDY'S COLONY,Madanapalli NB,Madnapalli,Chittoor DT.517325",Rajampet,MADANAPALLI,517325.0,NBSNL,BSNL Infra,CT2054,MARR-1,21.0,27.0,Dual,XAHT,NSN,IV,12/4/2006,BTS18K_ID,3.0,4-4-4,120/280/325,2.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,7/21/2016,120/280/325,RRH,3.0,27.0,Mono,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2054,CT2054,,,,,,,,,,060918-YES(GE+MDP(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),100 Mbps,505.0,060918-YES(GE+MDP(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),MDP,,
41,CT2055,505_50551_MDP_Madanapalle_TE_CT2055,2G+4G,NSN,4G_35303_Madanapalle-TE_CT2055,13.55568,78.50141,E-City,Madanapalle,Madanapalle,,Exchange,5392.0,BESAID POST OFFICE;MADANAPALLI;MADANAPALLI MANDAL.,Rajampet,MADANAPALLI,517325.0,BSNL,BSNL Infra,CT2055,RTT,18.0,30.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,I,6/4/2004,BTS18K_ID,3.0,6-6-6,330/110/290,2.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,12/18/2013,330/110/290,RRH,3.0,30.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2055,CT2055,,,,,,,,,,260718-YES-(FX(E1)+MADM(STR)+PE2(2-2-29)),100 Mbps,505.0,260718-YES-(FX(E1)+MADM(STR)+PE2(2-2-29)),MDP,,
42,CT2059,504_40151_Narayanavanam_CT2059,2G+4G,NSN,4G_36441_NARAYANVANAM_CT2059,13.42502,79.58997,Rural,Narayanavanam,Narayanavanam,NH,Exchange,5400.0,"Narayanavanam(V&M),Chittoor DT.",Tirupati,PUTTUR,517581.0,BSNL,BSNL Infra,CT2059,GBT,40.0,39.0,Mono,HIGH WAY,NSN,IV,2/9/2006,S8K_ID,3.0,4-4-4,110/212/288,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII +,3/22/2017,110/212/288,RRH,3.0,38.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2059,CT2059,,CT2059,,,,,,,,041018YES(fe+CPAN(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),100 Mbps,504.0,170818YES(Ge+CPAN(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),STD,,
43,CT2060,505_50601_Palamaneeru_CT2060,2G+4G,NSN,4G_35313_Palamaneeru_CT2060,13.20474,78.74561,E-City,palamaneru,Palamaner,NH,Exchange,5422.0,"palamner TE.palamner,Chittoor DT.",Chittoor,PALMANER,517408.0,BSNL,BSNL Infra,CT2060,MARR,21.0,24.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,III+,7/15/2004,S12K_ID,3.0,4-4-4,0/60/120,2.0,OFC,E1,,,,,,,,70.0,Tirupati,VII,1/20/2014,0/60/120,RRH,3.0,24.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2060,CT2060,,,,,,,,,,050818YES(FE+PTN(PLM)+PTN(MDP)+PE2(2-2-27),100 Mbps,505.0,050818YES(FE+PTN(PLM)+PTN(MDP)+PE2(2-2-27),PLM,,
44,CT2063,505_50631_PESMedicalKuppam_CT2063,2G+3G,NSN,553_35323_PESMedicalKuppam_CT2063,12.79077,78.36563,E-City,Kuppam,kuppam,NH,Room,5427.0,"PESMedical college,Kuppam,Chittoor DT.",Chittoor,KUPPAM,517425.0,NBSNL,BSNL Infra,CT2063,MARR,18.0,30.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV,5/14/2006,S12K_ID,3.0,4-4-4,0/100/240,1.0,OFC,E1,,,,,,,,70.0,Tirupati,VII,2/19/2014,0/100/240,RRH,3.0,30.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,45 Mbps,,,,,,Tiruapti,,553.0,CT2063,CT2063,,,,,,,,,,240818YES(FE+MADM(KPM)+MADM(STR)+PE2(2-2-37),45 Mbps,505.0,250818YES(FE+MADM(KPM)+MADM(STR)+PE2(2-2-37),KPM,,
45,CT2064,504_40161_Pitchatur_CT2064,2G+3G,NSN,553_35333_Pitchatur_CT2064,13.40089,79.74057,Rural,Pitchatur,Pichatur,NH,Exchange,5401.0,"Pitchatur(V&M),Chittoor DT.",Tirupati,SATYAVEDU,517587.0,BSNL,BSNL Infra,CT2064,GBT,40.0,40.0,Mono,KATHREIN,NSN,IV,3/4/2006,S12K_ID,3.0,4-4-4,109/233/341,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII +,4/21/2017,109/233/341,RRH,3.0,40.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553.0,CT2064,CT2064,,,,,,,,,,300718YES(FX(E1)+MADM1-(EKM)+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),100 Mbps,504.0,300718YES(FX(E1)+MADM1-(EKM)+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),STD,,
